Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
DeMar DeRozan,8.0,548.0,10202.0,2179.0,1483.0,524.0,152.0,0.445,0.283,0.827,"Aug 07, 1989",Compton,California
Coby Dietrick,13.0,842.0,5140.0,3772.0,1740.0,666.0,520.0,0.462,0.194,0.735,"Jul 23, 1948",Riverside,California
Harry Dinnel,1.0,11.0,19.0,23.0,5.0,,,0.316,,0.875,,Torrance,California
Spencer Dinwiddie,3.0,50.0,209.0,67.0,131.0,25.0,7.0,0.316,0.171,0.746,"Apr 06, 1993",Los Angeles,California
Larry Drew,1.0,12.0,46.0,15.0,45.0,6.0,0.0,0.345,0.154,0.667,"Mar 05, 1990",Los Angeles,California
Ralph Drollinger,1.0,6.0,15.0,19.0,14.0,1.0,2.0,0.5,,0.25,"Apr 20, 1954",La Mesa,California
Jared Dudley,10.0,703.0,5919.0,2404.0,1126.0,613.0,127.0,0.471,0.402,0.732,"Jul 10, 1985",San Diego,California
Craig Dykema,1.0,32.0,43.0,12.0,15.0,2.0,0.0,0.459,0.5,0.778,"Jun 11, 1959",Lakewood,California
Jim Eakins,10.0,767.0,8255.0,5578.0,1345.0,192.0,450.0,0.504,0.0,0.788,"May 24, 1946",Sacramento,California
Mark Eaton,11.0,875.0,5216.0,6939.0,840.0,368.0,3064.0,0.458,0.0,0.649,"Jan 24, 1957",Westminster,California
Tyus Edney,4.0,226.0,1728.0,393.0,910.0,217.0,6.0,0.405,0.322,0.806,"Feb 14, 1973",Gardena,California
Shane Edwards,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.333,,,"May 31, 1987",Los Angeles,California
LeRon Ellis,3.0,91.0,277.0,220.0,29.0,25.0,37.0,0.433,,0.613,"Apr 28, 1969",Los Angeles,California
Wayne Englestad,1.0,11.0,28.0,16.0,7.0,1.0,0.0,0.379,,0.6,"Dec 6, 1966",Rosemead,California
James Ennis,3.0,99.0,603.0,296.0,88.0,54.0,24.0,0.432,0.366,0.81,"Jul 01, 1990",Ventura,California
Keith Erickson,12.0,766.0,7251.0,3449.0,1991.0,222.0,45.0,0.435,,0.769,"Apr 19, 1944",San Francisco,California
John Fairchild,4.0,165.0,1085.0,523.0,115.0,,,0.404,0.368,0.681,"Apr 28, 1943",Encinitas,California
Jordan Farmar,10.0,504.0,3888.0,958.0,1453.0,391.0,56.0,0.423,0.374,0.739,"Nov 30, 1986",Los Angeles,California
Tony Farmer,2.0,101.0,532.0,327.0,79.0,76.0,20.0,0.395,0.189,0.77,"Jan 03, 1970",Los Angeles,California
Bob Feerick,4.0,221.0,2936.0,,440.0,,,0.362,,0.805,"Jan 2, 1920",San Francisco,California
Noel Felix,1.0,12.0,18.0,13.0,2.0,2.0,3.0,0.24,0.333,0.625,"Oct 04, 1981",Los Angeles,California
Eric Fernsten,6.0,218.0,517.0,372.0,82.0,52.0,51.0,0.445,,0.675,"Nov 1, 1953",Oakland,California
Landry Fields,5.0,255.0,1731.0,1092.0,419.0,212.0,45.0,0.473,0.332,0.666,"Jun 27, 1988",Long Beach,California
Isaac Fontaine,1.0,6.0,11.0,5.0,4.0,0.0,0.0,0.214,0.2,0.667,"Apr 16, 1975",Sacramento,California
Don Ford,7.0,474.0,3016.0,1691.0,647.0,274.0,139.0,0.464,0.143,0.773,"Dec 31, 1952",Santa Barbara,California
Bayard Forrest,2.0,139.0,569.0,565.0,296.0,52.0,71.0,0.449,,0.509,"Jul 8, 1954",San Jose,California
Greg Foster,13.0,656.0,2538.0,1691.0,351.0,94.0,194.0,0.44,0.225,0.748,"Oct 3, 1968",Oakland,California
Tremaine Fowlkes,4.0,103.0,301.0,228.0,54.0,47.0,6.0,0.409,0.2,0.791,"Apr 11, 1976",Los Angeles,California
Jamaal Franklin,2.0,24.0,42.0,25.0,9.0,4.0,3.0,0.415,0.462,1.0,"Jul 21, 1991",Moreno Valley,California
Anthony Frederick,3.0,147.0,718.0,280.0,135.0,76.0,45.0,0.439,0.273,0.699,"Dec 7, 1964",Los Angeles,California
Corey Gaines,5.0,80.0,248.0,69.0,247.0,39.0,4.0,0.424,0.229,0.736,"Jun 1, 1965",Los Angeles,California
Marlon Garnett,1.0,24.0,51.0,21.0,18.0,5.0,1.0,0.294,0.261,0.75,"Jul 03, 1975",Los Angeles,California
Dean Garrett,6.0,359.0,1737.0,1810.0,204.0,168.0,372.0,0.48,,0.677,"Nov 27, 1966",Los Angeles,California
Paul George,7.0,395.0,6800.0,2479.0,1236.0,661.0,174.0,0.426,0.366,0.842,"May 02, 1990",Palmdale,California
John Gianelli,8.0,541.0,4210.0,3188.0,832.0,225.0,476.0,0.47,,0.702,"Jun 10, 1950",Stockton,California
Jonathan Gibson,1.0,16.0,106.0,22.0,26.0,8.0,0.0,0.368,0.333,0.724,"Nov 08, 1987",West Covina,California
Drew Gooden,14.0,790.0,8653.0,5618.0,896.0,544.0,474.0,0.462,0.257,0.76,"Sep 24, 1981",Oakland,California
Gail Goodrich*,14.0,1031.0,19181.0,3279.0,4805.0,545.0,72.0,0.456,,0.807,"Apr 23, 1943",Los Angeles,California
Aaron Gordon,3.0,154.0,1263.0,801.0,212.0,102.0,92.0,0.455,0.296,0.662,"Sep 16, 1995",San Jose,California
Drew Gordon,1.0,9.0,17.0,18.0,2.0,1.0,0.0,0.421,0.0,0.5,"Jul 12, 1990",San Jose,California
Ron Grandison,4.0,105.0,254.0,163.0,58.0,31.0,6.0,0.404,0.167,0.713,"Jul 9, 1964",Los Angeles,California
Aaron Gray,7.0,318.0,1066.0,1190.0,207.0,94.0,87.0,0.509,0.0,0.562,"Dec 07, 1984",Tarzana,California
Ed Gray,2.0,60.0,373.0,73.0,46.0,27.0,12.0,0.339,0.341,0.814,"Sep 27, 1975",Riverside,California
Evric Gray,1.0,5.0,13.0,3.0,2.0,1.0,0.0,0.267,0.25,1.0,"Dec 13, 1969",Bloomington,California
Erick Green,2.0,52.0,159.0,37.0,42.0,13.0,0.0,0.377,0.288,0.857,"May 09, 1991",Inglewood,California
Sean Green,3.0,84.0,352.0,85.0,45.0,33.0,13.0,0.386,0.246,0.62,"Feb 02, 1970",Santa Monica,California
Dave Greenwood,12.0,823.0,8428.0,6537.0,1614.0,583.0,736.0,0.477,0.138,0.765,"May 27, 1957",Lynwood,California
John Greig,1.0,9.0,19.0,6.0,0.0,0.0,1.0,0.538,,0.833,"Apr 28, 1961",Sacramento,California
Dennis Grey,2.0,62.0,543.0,345.0,52.0,,,0.41,0.0,0.536,"Aug 26, 1947",San Diego,California
Bob Gross,8.0,513.0,4567.0,2253.0,1481.0,615.0,361.0,0.512,0.179,0.798,"Aug 3, 1953",San Pedro,California
Jack Haley,9.0,341.0,1180.0,922.0,82.0,60.0,48.0,0.425,0.0,0.655,"Jan 27, 1964",Long Beach,California
Dennis Hamilton,4.0,144.0,656.0,442.0,112.0,,,0.511,0.0,0.773,"May 8, 1944",Huntington Beach,California
Jordan Hamilton,5.0,151.0,890.0,429.0,127.0,73.0,34.0,0.408,0.357,0.67,"Oct 06, 1990",Los Angeles,California
Justin Hamilton,3.0,70.0,387.0,227.0,54.0,46.0,40.0,0.457,0.336,0.809,"Apr 01, 1990",Newport Beach,California
Roy Hamilton,2.0,73.0,336.0,110.0,192.0,48.0,5.0,0.4,0.0,0.684,"Jul 20, 1957",Los Angeles,California
Alex Hannum*,8.0,516.0,3078.0,2013.0,857.0,,,0.354,,0.629,"Jul 19, 1923",Los Angeles,California
James Harden,8.0,562.0,12037.0,2658.0,2951.0,825.0,246.0,0.443,0.367,0.854,"Aug 26, 1989",Los Angeles,California
Lucious Harris,12.0,800.0,5784.0,1864.0,1130.0,556.0,86.0,0.426,0.348,0.79,"Dec 18, 1970",Los Angeles,California
Jason Hart,9.0,341.0,1623.0,567.0,774.0,253.0,34.0,0.417,0.315,0.788,"Apr 29, 1978",Los Angeles,California
Scott Haskin,1.0,27.0,55.0,55.0,6.0,2.0,15.0,0.467,,0.684,"Sep 19, 1970",Riverside,California
Juaquin Hawkins,1.0,58.0,134.0,78.0,47.0,29.0,6.0,0.385,0.417,0.5,"Jul 02, 1973",Gardena,California
Chuck Hayes,11.0,644.0,2410.0,3243.0,781.0,478.0,237.0,0.498,0.0,0.62,"Jun 11, 1983",San Leandro,California
J.R. Henderson,1.0,30.0,97.0,47.0,22.0,9.0,4.0,0.365,0.4,0.556,"Oct 30, 1976",Bakersfield,California
Jerome Henderson,2.0,7.0,16.0,8.0,0.0,1.0,1.0,0.375,,1.0,"Oct 5, 1959",Los Angeles,California
Conner Henry,2.0,93.0,305.0,83.0,102.0,21.0,6.0,0.378,0.379,0.757,"Jul 21, 1963",Claremont,California
Cory Higgins,2.0,44.0,164.0,38.0,41.0,8.0,6.0,0.324,0.2,0.694,"Jun 14, 1989",Danville,California
Sean Higgins,6.0,220.0,1375.0,402.0,226.0,73.0,32.0,0.428,0.321,0.85,"Dec 30, 1968",Los Angeles,California
Solomon Hill,4.0,196.0,1180.0,623.0,306.0,133.0,43.0,0.404,0.325,0.829,"Mar 18, 1991",Los Angeles,California
Darnell Hillman,9.0,682.0,6666.0,5187.0,957.0,452.0,782.0,0.477,0.167,0.628,"Aug 29, 1949",Sacramento,California
Jrue Holiday,8.0,451.0,6366.0,1588.0,2743.0,648.0,161.0,0.439,0.365,0.796,"Jun 12, 1990",Chatsworth,California
Justin Holiday,4.0,148.0,718.0,258.0,149.0,100.0,47.0,0.391,0.337,0.792,"Apr 05, 1989",Mission Hills,California
Ryan Hollins,10.0,518.0,1913.0,1140.0,151.0,94.0,271.0,0.584,0.0,0.649,"Oct 10, 1984",Pasadena,California
Tyler Honeycutt,2.0,24.0,28.0,24.0,9.0,4.0,4.0,0.314,0.2,0.714,"Jul 15, 1990",Los Angeles,California
Eddie House,11.0,717.0,5356.0,1223.0,1112.0,470.0,58.0,0.409,0.39,0.851,"May 14, 1978",Berkeley,California
Jay Humphries,11.0,788.0,8772.0,2003.0,4339.0,1153.0,89.0,0.476,0.297,0.782,"Oct 17, 1962",Los Angeles,California
Roy Hurley,1.0,46.0,239.0,,34.0,,,0.224,,0.609,"Aug 12, 1922",Arcadia,California
Mel Hutchins,7.0,437.0,4851.0,4186.0,1298.0,,,0.389,,0.673,"Nov 22, 1928",Sacramento,California
Darrall Imhoff,12.0,801.0,5759.0,6099.0,1405.0,,,0.458,,0.594,"Oct 11, 1938",San Gabriel,California
Ralph Jackson,1.0,1.0,2.0,1.0,4.0,2.0,0.0,0.333,,,"Oct 26, 1962",Los Angeles,California
Casey Jacobsen,4.0,287.0,1488.0,516.0,304.0,121.0,24.0,0.393,0.352,0.769,"Mar 19, 1981",Glendora,California
Chris Jefferies,2.0,72.0,281.0,88.0,29.0,23.0,23.0,0.383,0.365,0.667,"Feb 13, 1980",Fresno,California
Richard Jefferson,16.0,1107.0,14541.0,4558.0,2341.0,767.0,339.0,0.464,0.379,0.769,"Jun 21, 1980",Los Angeles,California
Brandon Jennings,8.0,487.0,7374.0,1506.0,2854.0,629.0,90.0,0.389,0.348,0.799,"Sep 23, 1989",Compton,California
Chris Jent,2.0,6.0,37.0,16.0,8.0,0.0,0.0,0.469,0.429,0.5,"Jan 11, 1970",Orange,California
Grant Jerrett,1.0,8.0,16.0,9.0,3.0,2.0,2.0,0.269,0.067,1.0,"Jul 08, 1993",Costa Mesa,California
Eugene Jeter,1.0,62.0,255.0,70.0,162.0,29.0,2.0,0.409,0.2,0.902,"Dec 02, 1983",Los Angeles,California
Amir Johnson,12.0,692.0,5206.0,3958.0,802.0,427.0,736.0,0.573,0.324,0.676,"May 01, 1987",Los Angeles,California
Andy Johnson,4.0,292.0,2847.0,1190.0,675.0,,,0.392,,0.605,"Nov 8, 1932",Los Angeles,California
Dennis Johnson*,14.0,1100.0,15535.0,4249.0,5499.0,1477.0,675.0,0.445,0.172,0.797,"Sep 18, 1954",San Pedro,California
Kevin Johnson,12.0,735.0,13127.0,2404.0,6711.0,1082.0,176.0,0.493,0.305,0.841,"Mar 4, 1966",Sacramento,California
Orlando Johnson,3.0,103.0,329.0,180.0,69.0,20.0,14.0,0.358,0.311,0.727,"Mar 11, 1989",Monterey,California
Stanley Johnson,2.0,99.0,694.0,362.0,143.0,70.0,20.0,0.376,0.303,0.758,"May 29, 1996",Los Angeles,California
Bobby Jones,2.0,91.0,288.0,149.0,44.0,26.0,4.0,0.442,0.306,0.685,"Jan 09, 1984",Compton,California
Ozell Jones,2.0,70.0,245.0,240.0,56.0,32.0,58.0,0.582,0.0,0.398,"Nov 20, 1960",Long Beach,California
Phil Jordon,7.0,442.0,4833.0,3028.0,769.0,,,0.398,,0.694,"Sep 12, 1933",Lakeport,California
Jason Kapono,9.0,509.0,3398.0,844.0,417.0,180.0,25.0,0.442,0.434,0.835,"Feb 04, 1981",Long Beach,California
Adam Keefe,9.0,617.0,3107.0,2556.0,427.0,307.0,173.0,0.502,0.071,0.714,"Feb 22, 1970",Irvine,California
Rich Kelley,11.0,814.0,6199.0,5678.0,2092.0,694.0,749.0,0.488,0.0,0.783,"Mar 23, 1953",San Mateo,California
Jason Kidd,19.0,1391.0,17529.0,8725.0,12091.0,2684.0,450.0,0.4,0.349,0.785,"Mar 23, 1973",San Francisco,California
Kyle Korver,14.0,990.0,9855.0,3071.0,1824.0,708.0,338.0,0.442,0.429,0.88,"Mar 17, 1981",Lakewood,California
Joel Kramer,5.0,328.0,1257.0,916.0,343.0,140.0,62.0,0.479,0.0,0.737,"Nov 30, 1955",San Diego,California
Edgar Lacey,1.0,46.0,234.0,180.0,30.0,,,0.447,0.0,0.567,"Aug 2, 1944",Los Angeles,California
John Lambert,7.0,446.0,1688.0,1493.0,248.0,153.0,172.0,0.428,0.083,0.693,"Jan 14, 1953",Berkeley,California
Trajan Langdon,3.0,119.0,647.0,159.0,152.0,56.0,14.0,0.416,0.396,0.91,"May 13, 1976",Palo Alto,California
Eric Leckner,8.0,449.0,1835.0,1418.0,211.0,84.0,140.0,0.508,0.0,0.669,"May 27, 1966",Inglewood,California
David Lee,2.0,58.0,374.0,187.0,20.0,,,0.442,0.333,0.857,"Mar 31, 1942",Modesto,California
Greg Lee,2.0,10.0,24.0,5.0,24.0,6.0,0.0,0.526,,1.0,"Dec 12, 1951",Reseda,California
Malcolm Lee,3.0,36.0,140.0,65.0,51.0,20.0,10.0,0.382,0.294,0.703,"May 22, 1990",Riverside,California
Rock Lee,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.5,,0.0,"May 1, 1955",LaJolla,California
Kawhi Leonard,6.0,351.0,5269.0,2198.0,724.0,624.0,239.0,0.496,0.391,0.843,"Jun 29, 1991",Los Angeles,California
Cliff Levingston,11.0,830.0,5888.0,4307.0,752.0,534.0,593.0,0.516,0.152,0.676,"Jan 4, 1961",San Diego,California
Todd Lichti,5.0,237.0,1870.0,505.0,325.0,179.0,45.0,0.46,0.244,0.789,"Jan 8, 1967",Walnut Creek,California
Damian Lillard,5.0,350.0,7652.0,1356.0,2175.0,326.0,98.0,0.43,0.37,0.873,"Jul 15, 1990",Oakland,California
Jeremy Lin,7.0,377.0,4437.0,1051.0,1668.0,440.0,152.0,0.433,0.345,0.801,"Aug 23, 1988",Palo Alto,California
Rob Lock,1.0,20.0,30.0,32.0,4.0,3.0,4.0,0.281,,0.8,"May 22, 1966",Reedley,California
Don Lofgran,4.0,209.0,1265.0,817.0,216.0,,,0.329,,0.692,"Nov 18, 1928",Oakland,California
Brook Lopez,9.0,511.0,9391.0,3732.0,753.0,304.0,892.0,0.508,0.297,0.793,"Apr 01, 1988",North Hollywood,California
Robin Lopez,9.0,574.0,4908.0,3154.0,370.0,149.0,729.0,0.529,0.0,0.761,"Apr 01, 1988",North Hollywood,California
Jim Loscutoff,9.0,511.0,3156.0,2848.0,353.0,,,0.345,,0.653,"Feb 4, 1930",San Francisco,California
Kevin Love,9.0,540.0,9985.0,6202.0,1294.0,377.0,264.0,0.446,0.366,0.817,"Sep 07, 1988",Santa Monica,California
Stan Love,4.0,239.0,1579.0,929.0,181.0,44.0,37.0,0.44,,0.751,"Apr 9, 1949",Los Angeles,California
Mike Lynn,2.0,49.0,126.0,68.0,31.0,,,0.329,,0.667,"Nov 25, 1945",Covina,California
Don MacLean,9.0,319.0,3490.0,1210.0,404.0,118.0,51.0,0.455,0.284,0.765,"Jan 16, 1970",Palo Alto,California
Tito Maddox,1.0,9.0,11.0,7.0,5.0,3.0,1.0,0.25,0.0,0.625,"Jun 07, 1981",Compton,California
Gerald Madkins,3.0,48.0,80.0,26.0,65.0,24.0,1.0,0.366,0.375,0.762,"Apr 18, 1969",Merced,California
Mark Madsen,9.0,453.0,975.0,1157.0,181.0,116.0,102.0,0.457,0.063,0.527,"Jan 28, 1976",Walnut Creek,California
John Mandic,2.0,81.0,335.0,,88.0,,,0.316,,0.66,"Oct 3, 1919",Los Angeles,California
Dan McClintock,1.0,6.0,18.0,17.0,1.0,0.0,2.0,0.5,,0.0,"Apr 19, 1977",Fountain Valley,California
Jelani McCoy,8.0,260.0,1200.0,921.0,135.0,75.0,193.0,0.539,,0.49,"Dec 06, 1977",Oakland,California
Ben McDonald,4.0,176.0,1061.0,568.0,236.0,77.0,17.0,0.468,0.227,0.727,"Jul 20, 1962",Torrance,California
Dominic McGuire,6.0,342.0,939.0,1169.0,422.0,154.0,184.0,0.419,0.188,0.658,"Oct 20, 1985",San Diego,California
Carlton McKinney,2.0,9.0,22.0,13.0,7.0,6.0,1.0,0.244,0.0,0.5,"Oct 21, 1964",San Diego,California
Mark McNamara,8.0,278.0,980.0,827.0,77.0,35.0,39.0,0.512,,0.548,"Jun 8, 1959",San Jose,California
Chris McNealy,3.0,108.0,466.0,494.0,110.0,90.0,30.0,0.456,,0.658,"Jul 15, 1961",Fresno,California
Dave Meyers,4.0,281.0,3149.0,1771.0,652.0,272.0,143.0,0.461,0.2,0.676,"Apr 21, 1953",San Diego,California
Vern Mikkelsen*,10.0,699.0,10063.0,5940.0,1515.0,,,0.403,,0.766,"Oct 21, 1928",Fresno,California
Andre Miller,17.0,1304.0,16278.0,4795.0,8524.0,1546.0,227.0,0.461,0.217,0.807,"Mar 19, 1976",Los Angeles,California
Reggie Miller*,18.0,1389.0,25279.0,4182.0,4141.0,1505.0,299.0,0.471,0.395,0.888,"Aug 24, 1965",Riverside,California
Chris Mills,10.0,568.0,6357.0,2808.0,1063.0,421.0,247.0,0.432,0.351,0.817,"Jan 25, 1970",Los Angeles,California
Harold Miner,4.0,200.0,1801.0,432.0,245.0,80.0,27.0,0.46,0.311,0.785,"May 05, 1971",Inglewood,California
Darius Morris,4.0,132.0,430.0,126.0,189.0,45.0,2.0,0.384,0.322,0.63,"Jan 03, 1991",Los Angeles,California
Richard Morton,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.75,,,"Feb 2, 1966",San Francisco,California
Shabazz Muhammad,4.0,181.0,1674.0,535.0,114.0,54.0,17.0,0.467,0.303,0.74,"Nov 13, 1992",Los Angeles,California
Chris Munk,1.0,11.0,13.0,14.0,1.0,1.0,2.0,0.429,,0.583,"Aug 5, 1967",San Francisco,California
Tod Murphy,5.0,191.0,1049.0,941.0,183.0,113.0,88.0,0.454,0.29,0.679,"Dec 24, 1963",Long Beach,California
Lamond Murray,11.0,736.0,8286.0,3033.0,978.0,684.0,319.0,0.43,0.36,0.759,"Apr 20, 1973",Pasadena,California
Tracy Murray,12.0,659.0,5943.0,1649.0,508.0,361.0,161.0,0.43,0.388,0.829,"Jul 25, 1971",Los Angeles,California
DeMarcus Nelson,1.0,13.0,53.0,24.0,13.0,9.0,2.0,0.444,0.0,0.357,"Nov 02, 1985",Oakland,California
Louie Nelson,5.0,224.0,2113.0,527.0,436.0,202.0,21.0,0.437,,0.738,"May 28, 1951",Los Angeles,California
Bob Netolicky,9.0,618.0,9876.0,5518.0,848.0,37.0,52.0,0.492,0.194,0.661,"Aug 2, 1942",San Francisco,California
Mike Niles,1.0,44.0,115.0,58.0,15.0,8.0,1.0,0.348,0.5,0.459,"Mar 31, 1955",Los Angeles,California
James Nunnally,1.0,13.0,44.0,19.0,8.0,6.0,2.0,0.326,0.32,0.667,"Jul 14, 1990",San Jose,California
Charles O'Bannon,2.0,48.0,120.0,67.0,29.0,11.0,4.0,0.4,0.0,0.87,"Feb 22, 1975",Bellflower,California
Ed O'Bannon,2.0,128.0,634.0,316.0,102.0,73.0,23.0,0.367,0.222,0.755,"Aug 14, 1972",Los Angeles,California
J.J. O'Brien,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,,,"Apr 08, 1992",San Diego,California
Kevin O'Shea,3.0,174.0,911.0,402.0,358.0,,,0.337,,0.68,"Jul 10, 1925",San Francisco,California
Bud Ogden,2.0,74.0,257.0,106.0,48.0,,,0.445,,0.692,"Dec 29, 1946",San Luis Obispo,California
Jim Owens,2.0,58.0,177.0,52.0,64.0,21.0,2.0,0.418,,0.767,"May 1, 1950",Los Angeles,California
Keith Owens,1.0,20.0,26.0,15.0,3.0,5.0,4.0,0.281,,0.8,"May 31, 1969",San Francisco,California
Ray Owes,1.0,57.0,177.0,163.0,15.0,15.0,20.0,0.417,0.2,0.565,"Dec 11, 1972",San Bernardino,California
Milt Palacio,7.0,470.0,2243.0,831.0,1194.0,302.0,58.0,0.419,0.235,0.719,"Feb 07, 1978",Los Angeles,California
Bud Palmer,3.0,148.0,1737.0,,187.0,,,0.326,,0.739,"Sep 14, 1921",Hollywood,California
Cherokee Parks,9.0,472.0,2056.0,1703.0,265.0,207.0,306.0,0.47,0.211,0.63,"Oct 11, 1972",Huntington Beach,California
Andrae Patterson,2.0,40.0,120.0,67.0,16.0,20.0,7.0,0.455,0.0,0.778,"Nov 12, 1975",Riverside,California
Steve Patterson,5.0,350.0,1552.0,1632.0,443.0,85.0,94.0,0.403,,0.594,"Jun 24, 1948",Riverside,California
Gary Payton*,17.0,1335.0,21813.0,5269.0,8966.0,2445.0,285.0,0.466,0.317,0.729,"Jul 23, 1968",Oakland,California
Mike Penberthy,2.0,56.0,272.0,65.0,73.0,24.0,2.0,0.415,0.396,0.886,"Nov 29, 1974",Los Gatos,California
Desmond Penigar,1.0,10.0,32.0,24.0,3.0,2.0,2.0,0.5,,1.0,"Jul 16, 1981",Upland,California
Bob Peterson,3.0,103.0,479.0,389.0,78.0,,,0.386,,0.669,"Jan 25, 1932",San Mateo,California
Paul Pierce,19.0,1325.0,26341.0,7487.0,4700.0,1750.0,742.0,0.445,0.369,0.807,"Oct 13, 1977",Oakland,California
Kevinn Pinkney,1.0,6.0,31.0,15.0,5.0,3.0,3.0,0.444,0.5,0.667,"Oct 20, 1983",Colton,California
Dwayne Polee,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.25,0.0,,"Mar 2, 1963",Los Angeles,California
Jim Pollard*,7.0,438.0,5762.0,2487.0,1417.0,,,0.36,,0.75,"Jul 9, 1922",Oakland,California
Cliff Pondexter,3.0,197.0,778.0,747.0,218.0,81.0,52.0,0.416,,0.667,"Sep 15, 1954",Fresno,California
Quincy Pondexter,5.0,279.0,1466.0,567.0,230.0,103.0,46.0,0.424,0.365,0.732,"Mar 10, 1988",Fresno,California
Bob Portman,4.0,221.0,1254.0,729.0,128.0,,,0.443,,0.78,"Mar 22, 1947",San Francisco,California
Leon Powe,5.0,239.0,1484.0,911.0,78.0,69.0,82.0,0.515,0.0,0.682,"Jan 22, 1984",Berkeley,California
Norman Powell,2.0,72.0,420.0,149.0,69.0,45.0,14.0,0.451,0.412,0.787,"May 25, 1993",San Diego,California
Tayshaun Prince,14.0,1017.0,11272.0,4332.0,2406.0,571.0,500.0,0.455,0.367,0.756,"Feb 28, 1980",Compton,California
Gabe Pruitt,2.0,62.0,125.0,51.0,52.0,20.0,3.0,0.321,0.283,0.783,"Apr 19, 1986",Los Angeles,California
Kurt Rambis,14.0,880.0,4603.0,4961.0,931.0,761.0,456.0,0.534,0.0,0.689,"Feb 25, 1958",Cupertino,California
Wally Rank,1.0,25.0,55.0,30.0,17.0,7.0,1.0,0.368,,0.464,"Mar 1, 1958",Fort Ord,California
Marlon Redmond,2.0,77.0,499.0,161.0,77.0,32.0,25.0,0.423,0.0,0.655,"Apr 15, 1955",San Francisco,California
Kevin Restani,8.0,550.0,3386.0,2206.0,747.0,221.0,111.0,0.486,0.205,0.717,"Dec 23, 1951",San Francisco,California
Isaiah Rider,9.0,563.0,9405.0,2166.0,1535.0,367.0,136.0,0.443,0.352,0.812,"Mar 12, 1971",Oakland,California
Ron Riley,4.0,264.0,1542.0,1368.0,318.0,106.0,67.0,0.419,,0.691,"Nov 11, 1950",Los Angeles,California
Austin Rivers,5.0,300.0,2277.0,568.0,596.0,185.0,45.0,0.413,0.341,0.637,"Aug 01, 1992",Santa Monica,California
Cliff Robinson,11.0,629.0,10823.0,5237.0,1249.0,655.0,441.0,0.468,0.184,0.722,"Mar 13, 1960",Oakland,California
Jackie Robinson,3.0,22.0,83.0,27.0,13.0,8.0,4.0,0.463,0.0,0.7,"May 20, 1955",Los Angeles,California
Samuel Robinson,2.0,134.0,1223.0,546.0,160.0,,,0.444,0.19,0.777,"Jan 1, 1948",Los Angeles,California
Johnny Rogers,2.0,69.0,251.0,104.0,29.0,13.0,11.0,0.472,0.0,0.679,"Dec 30, 1963",Fullerton,California
Lorenzo Romar,5.0,291.0,1731.0,385.0,1022.0,244.0,29.0,0.464,0.211,0.749,"Nov 13, 1958",South Gate,California
John Rudometkin,3.0,131.0,822.0,412.0,72.0,,,0.399,,0.743,"Jun 6, 1940",Santa Maria,California
Paul Ruffner,5.0,133.0,561.0,393.0,61.0,4.0,4.0,0.471,,0.688,"Oct 15, 1948",Downey,California
Bob Rule,8.0,403.0,7007.0,3333.0,594.0,12.0,10.0,0.461,,0.686,"Jun 29, 1944",Riverside,California
Bryon Russell,13.0,841.0,6663.0,2914.0,1085.0,874.0,203.0,0.431,0.369,0.75,"Dec 31, 1970",San Bernardino,California
Jamal Sampson,5.0,72.0,142.0,242.0,26.0,9.0,32.0,0.491,0.0,0.537,"May 15, 1983",Inglewood,California
Alan Sawyer,1.0,33.0,217.0,121.0,25.0,,,0.37,,0.86,"Jan 1, 1928",Long Beach,California
Brian Scalabrine,11.0,520.0,1594.0,1034.0,436.0,157.0,121.0,0.39,0.344,0.783,"Mar 18, 1978",Long Beach,California
Paul Scranton,1.0,5.0,9.0,16.0,1.0,,,0.444,,0.25,"Apr 30, 1944",Los Angeles,California
Kenny Sears,8.0,529.0,7355.0,4142.0,843.0,,,0.455,,0.826,"Aug 17, 1933",Watsonville,California
Jim Seminoff,4.0,231.0,1507.0,,630.0,,,0.308,,0.681,"Sep 1, 1922",Los Angelse,California
Brian Shaw,14.0,943.0,6547.0,3183.0,3918.0,747.0,252.0,0.403,0.304,0.782,"Mar 22, 1966",Oakland,California
Lonnie Shelton,10.0,673.0,8049.0,4136.0,1459.0,739.0,559.0,0.492,0.097,0.738,"Oct 19, 1955",Bakersfield,California
Jose Slaughter,1.0,63.0,225.0,68.0,52.0,36.0,7.0,0.374,0.22,0.644,"Sep 9, 1960",Los Angeles,California
Craig Smith,6.0,403.0,3080.0,1567.0,322.0,183.0,91.0,0.553,0.037,0.661,"Nov 10, 1983",Inglewood,California
Greg Smith,5.0,149.0,596.0,489.0,41.0,32.0,59.0,0.617,0.0,0.576,"Jan 08, 1991",Vallejo,California
Phil Smith,9.0,659.0,9924.0,1978.0,2561.0,734.0,165.0,0.476,0.253,0.779,"Apr 22, 1952",San Francisco,California
Reggie Smith,2.0,66.0,99.0,120.0,5.0,16.0,7.0,0.394,0.0,0.404,"Aug 21, 1970",San Jose,California
